"id","name","url","address.streetAddress","address.addressLocality","address.addressRegion","address.postalCode","geo.latitude","geo.longitude","telephone","faxNumber","email"
"j5329","Jaguar San Jose","","4040 Stevens Creek Blvd","San Jose","CA","95129-1334","37.32316","-121.97256","8889270513",,
"NH006","Berlin City Kia","http://www.berlincitykianh.com/index.htm","485 Main Street","Gorham","NH","03581","44.4233867","-71.1941538","603-752-6644",,
"4501548","Porsche of Syracuse","http://syracuse.porschedealer.com","5885 East Circle Drive","Cicero","New York","13039",,,"315-699-2661",,
"50012","Kendall Scion Anchorage","http://www.kendallscionofanchorage.com","6930 Old Seward Highway","Anchorage","AK","99518","61.15820599999999984675014275126159191131591796875","-149.86619699999999966166797094047069549560546875","(866) 733-3905",,"ScionEcom50012@toyota.com"
"05790","Larry H. Miller Ford Lincoln Sandy","http://www.LarryHMillerLincolnSandy.com","200 West 9000 South","Sandy","UT","84070","40.590242","-111.897128","(801) 563-4000","(801) 256-3223",
"09454","Parkview Ford, Inc.","http://www.parkviewford.net","2207 E Highway 7","Montevideo","MN","56265","44.949149","-95.699609","(320) 269-5565","(320) 269-7346",
"09586","Sandy Sansing Ford Lincoln, LLC","http://www.sandysansingford.net","27180 Highway 98","Daphne","AL","36526","30.621004","-87.906139","(251) 626-7777","(251) 621-3104",
"114520","MILDENBERGER MOTORS","http://www.mildenbergermotors.com","1717 N FIRST ST","HAMILTON","MT","59840-3112",46.2649,-114.1563,"(406) 363-4100","(406) 363-4501",
"08890","Rodman Ford Sales Inc","http://www.rodmanford.net","45 Washington St, Us Rt 1","Foxboro","MA","02035","42.066534","-71.241154","(508) 543-3333","(508) 543-2707",
"04846","Sunrise Ford","http://www.sunfordford.com","5435 South Us Highway 1","Fort Pierce","FL","34982","27.366406","-80.325879","(772) 461-6000","",
"04728","Ray Skillman Ford, Inc.","http://www.rayskillmanfordgreenwood.com","1300 South U.S. 31","Greenwood","IN","46143","39.598460","-86.104739","(317) 885-9800","(317) 887-4119",
